INST_NAME,n_total,is_oa,full_oa_journal,other_oa_journal,opendoar_inst,opendoar_subject,opendoar_other,other_repo
Chemical Genomics Centre of the Max Planck Society,177,0.4350282485875706,0.15254237288135594,0.1977401129943503,0.14124293785310735,0.2994350282485876,0.05084745762711865,0.11864406779661017
Ernst Strüngmann Institut (ESI),200,0.86,0.25,0.505,0.4,0.65,0.105,0.42
Forschungszentrum caesar,303,0.6600660066006601,0.22772277227722773,0.29372937293729373,0.1551155115511551,0.504950495049505,0.2706270627062706,0.19141914191419143
Friedrich-Miescher-Laboratorium für biologische Arbeitsgruppen in der Max-Planck-Gesellschaft,101,0.8415841584158416,0.31683168316831684,0.38613861386138615,0.2376237623762376,0.6237623762376238,0.04950495049504951,0.31683168316831684
Fritz-Haber-Institut der Max-Planck-Gesellschaft,2201,0.6624261699227624,0.07223989095865516,0.15856428895956384,0.24034529759200363,0.22444343480236256,0.5379373012267151,0.21035892776010903
Generalverwaltung der Max-Planck-Gesellschaft,204,0.6176470588235294,0.08823529411764706,0.20588235294117646,0.08333333333333333,0.5049019607843137,0.09803921568627451,0.19117647058823528
Max Planck Computing and Data Facility,36,0.8333333333333334,0.08333333333333333,0.25,0.3888888888888889,0.6388888888888888,0.2777777777777778,0.25
Max Planck Digital Library (MPDL),10,0.5,0.1,0.2,0.3,0.4,0.2,0.1
Max Planck Forschungsstelle für Enzymologie der Proteinfaltung,108,0.34259259259259256,0.06481481481481481,0.19444444444444445,0.10185185185185185,0.28703703703703703,0.018518518518518517,0.08333333333333333
Max Planck UCL Centre for Computational Psychiatry and Ageing Research,33,0.8787878787878788,0.2727272727272727,0.30303030303030304,0.2727272727272727,0.6363636363636364,0.7575757575757576,0.2727272727272727
Max-Planck-Institut für Astronomie,3725,0.9779865771812081,0.002953020134228188,0.8045637583892618,0.5025503355704698,0.945771812080537,0.15758389261744968,0.37583892617449666
Max-Planck-Institut für Astrophysik,2581,0.9752034095311894,0.004649360712901976,0.7249128244866331,0.39674544750096863,0.9484695854320031,0.20534676481983727,0.32816737698566445
Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht,48,0.35416666666666663,0.020833333333333332,0.2916666666666667,0.020833333333333332,0.020833333333333332,0.0625,0.125
Max-Planck-Institut für ausländisches und internationales Privatrecht,23,0.17391304347826086,0.043478260869565216,0.08695652173913043,0.043478260869565216,0,0,0.08695652173913043
Max-Planck-Institut für ausländisches und internationales Strafrecht,51,0.07843137254901966,0,0.0196078431372549,0.0196078431372549,0.0392156862745098,0,0.058823529411764705
Max-Planck-Institut für Bildungsforschung,1295,0.6277992277992278,0.16988416988416988,0.14903474903474903,0.29343629343629346,0.3204633204633205,0.40308880308880307,0.2308880308880309
Max-Planck-Institut für Biochemie,1880,0.7095744680851064,0.24574468085106382,0.3404255319148936,0.2351063829787234,0.5297872340425532,0.275531914893617,0.24627659574468086
Max-Planck-Institut für Biogeochemie,1330,0.643609022556391,0.36466165413533835,0.12706766917293233,0.37293233082706767,0.13233082706766916,0.3894736842105263,0.2932330827067669
Max-Planck-Institut für Biologie,4,0.5,0.25,0.25,0,0.5,0.25,0
Max-Planck-Institut für Biologie des Alterns,448,0.859375,0.3482142857142857,0.38169642857142855,0.328125,0.6830357142857143,0.08035714285714286,0.3236607142857143
Max-Planck-Institut für biologische Kybernetik,991,0.584258324924319,0.21392532795156408,0.22401614530776992,0.1917255297679112,0.37235116044399597,0.13420787083753785,0.2684157416750757
Max-Planck-Institut für Biophysik,603,0.6567164179104478,0.16749585406301823,0.34328358208955223,0.21890547263681592,0.46766169154228854,0.04145936981757877,0.175787728026534
Max-Planck-Institut für biophysikalische Chemie (Karl-Friedrich-Bonhoeffer-Institut),2529,0.7864768683274022,0.19968366943455912,0.2858837485172005,0.13720838275998418,0.46737841043890865,0.6034005535784895,0.26848556741795176
Max-Planck-Institut für Chemie (Otto-Hahn-Institut),1799,0.6364647026125625,0.4357976653696498,0.10227904391328516,0.3051695386325737,0.07837687604224569,0.10950528071150639,0.3807670928293496
Max-Planck-Institut für Chemische Energiekonversion,1190,0.33949579831932775,0.04285714285714286,0.15210084033613444,0.08991596638655462,0.15966386554621848,0.0957983193277311,0.06722689075630252
Max-Planck-Institut für chemische Ökologie,1418,0.5944992947813823,0.2644569816643159,0.2623413258110014,0.1368124118476728,0.4414668547249647,0.31734837799717913,0.22143864598025387
Max-Planck-Institut für Chemische Physik fester Stoffe,1961,0.5385007649158593,0.09280979092299847,0.09280979092299847,0.12850586435492095,0.4145843957164712,0.06884242733299337,0.10402855685874554
Max-Planck-Institut für demografische Forschung,554,0.6642599277978339,0.20216606498194944,0.259927797833935,0.351985559566787,0.388086642599278,0.0812274368231047,0.2815884476534296
Max-Planck-Institut für die Physik des Lichts,1121,0.655664585191793,0.1302408563782337,0.056199821587867974,0.20071364852809992,0.5173951828724354,0.08296164139161463,0.21052631578947367
Max-Planck-Institut für Dynamik komplexer technischer Systeme,983,0.4404883011190234,0.09155645981688708,0.11190233977619532,0.09867751780264497,0.1617497456765005,0.3326551373346897,0.09664292980671414
Max-Planck-Institut für Dynamik und Selbstorganisation,1179,0.7523324851569126,0.181509754028838,0.18405428329092452,0.22561492790500423,0.5453774385072095,0.07124681933842239,0.29770992366412213
Max-Planck-Institut für Eisenforschung GmbH,1689,0.3043220840734162,0.05802249851983422,0.123149792776791,0.11130846654825341,0.09828300769686205,0.0674955595026643,0.09473060982830077
Max-Planck-Institut für empirische Ästhetik,137,0.6058394160583942,0.31386861313868614,0.1897810218978102,0.30656934306569344,0.43795620437956206,0.30656934306569344,0.27007299270072993
Max-Planck-Institut für Entwicklungsbiologie,1083,0.7497691597414589,0.2917820867959372,0.3554939981532779,0.23730378578024008,0.5743305632502308,0.08587257617728532,0.31024930747922436
Max-Planck-Institut für ethnologische Forschung,147,0.23129251700680276,0.013605442176870748,0.12244897959183673,0.07482993197278912,0.013605442176870748,0.047619047619047616,0.047619047619047616
Max-Planck-Institut für europäische Rechtsgeschichte,21,0.38095238095238093,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.09523809523809523,0,0.14285714285714285
Max-Planck-Institut für evolutionäre Anthropologie,2250,0.5848888888888889,0.204,0.19066666666666668,0.2826666666666667,0.3537777777777778,0.2657777777777778,0.208
Max-Planck-Institut für Evolutionsbiologie,676,0.7337278106508875,0.3328402366863905,0.257396449704142,0.29142011834319526,0.5665680473372781,0.4275147928994083,0.2618343195266272
Max-Planck-Institut für experimentelle Endokrinologie,7,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857
Max-Planck-Institut für experimentelle Medizin,812,0.6711822660098522,0.25492610837438423,0.31157635467980294,0.21551724137931033,0.5246305418719212,0.30295566502463056,0.23522167487684728
Max-Planck-Institut für extraterrestrische Physik (MPE),4250,0.9174117647058824,0.012470588235294117,0.7035294117647058,0.4611764705882353,0.8607058823529412,0.20588235294117646,0.34258823529411764
Max-Planck-Institut für Festkörperforschung (MPI-FKF),3196,0.5134543178973717,0.077909887359199,0.09136420525657071,0.13892365456821026,0.36795994993742176,0.04881101376720901,0.13078848560700876
Max-Planck-Institut für Gesellschaftsforschung,138,0.5797101449275363,0.014492753623188406,0.06521739130434782,0.13043478260869565,0.12318840579710146,0.5289855072463768,0.15942028985507245
Max-Planck-Institut für Gravitationsphysik (Albert-Einstein-Institut),1941,0.9587841318907779,0.13446676970633695,0.24574961360123648,0.2946934569809377,0.8943843379701185,0.7284904688304997,0.3127253992787223
Max-Planck-Institut für Herz- und Lungenforschung (W. G. Kerckhoff-Institut),899,0.7230255839822024,0.2803114571746385,0.35372636262513907,0.15795328142380421,0.4961067853170189,0.026696329254727477,0.27474972191323693
Max-Planck-Institut für Hirnforschung,609,0.6486042692939245,0.22660098522167488,0.2889983579638752,0.2791461412151067,0.48440065681444994,0.052545155993431854,0.29720853858784896
