repo_url,oai_url,repo_type,org_url,doar_uri,repo_domain
http://www.alexandria.unisg.ch/,https://www.alexandria.unisg.ch/cgi/oai2,institutional,http://www.unisg.ch/,http://v2.sherpa.ac.uk/id/repository/2,alexandria.unisg.ch
http://amsacta.unibo.it,http://amsacta.unibo.it/cgi/oai2,institutional,http://www.unibo.it/,http://v2.sherpa.ac.uk/id/repository/3,amsacta.unibo.it
http://eprints.lincoln.ac.uk/,http://eprints.lincoln.ac.uk/cgi/oai2,institutional,http://www.lincoln.ac.uk/home/,http://v2.sherpa.ac.uk/id/repository/5,eprints.lincoln.ac.uk
http://archimer.ifremer.fr,http://www.ifremer.fr/docelec/oai/OAIHandler,institutional,http://www.ifremer.fr,http://v2.sherpa.ac.uk/id/repository/7,archimer.ifremer.fr
http://edutice.archives-ouvertes.fr/,https://api.archives-ouvertes.fr/oai/edutice,institutional,http://www.ccsd.cnrs.fr/,http://v2.sherpa.ac.uk/id/repository/8,edutice.archives-ouvertes.fr
http://eprints-scd-ulp.u-strasbg.fr/,http://eprints-scd-ulp.u-strasbg.fr/perl/oai2,institutional,http://www.unistra.fr/,http://v2.sherpa.ac.uk/id/repository/10,eprints-scd-ulp.u-strasbg.fr
http://aei.pitt.edu/,http://aei.pitt.edu/cgi/oai2,disciplinary,http://www.pitt.edu/,http://v2.sherpa.ac.uk/id/repository/11,aei.pitt.edu
http://www.uni-marburg.de/bis/digitale_bibliothek/archivserver,http://archiv.ub.uni-marburg.de/oai/provider,institutional,http://www.uni-marburg.de/,http://v2.sherpa.ac.uk/id/repository/13,uni-marburg.de
http://www.sv.uio.no/arena/english/research/publications/arena-publications/,NA,institutional,http://www.uio.no/,http://v2.sherpa.ac.uk/id/repository/14,sv.uio.no
http://digital.lib.auth.gr/,http://invenio.lib.auth.gr/oai2d,institutional,http://www.auth.gr/,http://v2.sherpa.ac.uk/id/repository/15,digital.lib.auth.gr
http://unsworks.unsw.edu.au/,http://unsworks.unsw.edu.au/oai/provider,institutional,http://www.unsw.edu.au/,http://v2.sherpa.ac.uk/id/repository/17,unsworks.unsw.edu.au
http://arxiv.org/,http://export.arxiv.org/oai2,disciplinary,http://www.cornell.edu/,http://v2.sherpa.ac.uk/id/repository/18,arxiv.org
http://bdjur.stj.jus.br/jspui/,http://bdjur.stj.jus.br/dspace-oai/request,governmental,http://www.stj.gov.br/portal_stj/publicacao/engine.wsp,http://v2.sherpa.ac.uk/id/repository/23,bdjur.stj.jus.br
https://bora.uib.no/,https://bora.uib.no/oai/request,institutional,http://www.uib.no/,http://v2.sherpa.ac.uk/id/repository/24,bora.uib.no
http://red.uao.edu.co/,http://red.uao.edu.co/oai/request,institutional,http://www.uao.edu.co/,http://v2.sherpa.ac.uk/id/repository/25,red.uao.edu.co
http://www.teses.usp.br/,NA,institutional,http://www.usp.br/,http://v2.sherpa.ac.uk/id/repository/26,teses.usp.br
http://www.bictel.be/,http://www.bictel.be:8080/oaisolr/request,aggregating,http://www.bicfb.be/,http://v2.sherpa.ac.uk/id/repository/27,bictel.be
http://eprints.bbk.ac.uk/,http://eprints.bbk.ac.uk/cgi/oai2,institutional,http://www.bbk.ac.uk/,http://v2.sherpa.ac.uk/id/repository/30,eprints.bbk.ac.uk
http://cab.unime.it,NA,institutional,http://www.unime.it,http://v2.sherpa.ac.uk/id/repository/35,cab.unime.it
http://cadair.aber.ac.uk/dspace/,http://cadair.aber.ac.uk/dspace-oai/request,institutional,http://www.aber.ac.uk/,http://v2.sherpa.ac.uk/id/repository/36,cadair.aber.ac.uk
http://authors.library.caltech.edu/,http://authors.library.caltech.edu/cgi/oai2,institutional,http://www.caltech.edu/,http://v2.sherpa.ac.uk/id/repository/38,authors.library.caltech.edu
http://thesis.library.caltech.edu/,http://thesis.library.caltech.edu/cgi/oai2,institutional,http://www.caltech.edu/,http://v2.sherpa.ac.uk/id/repository/40,thesis.library.caltech.edu
http://calteches.library.caltech.edu/,http://calteches.library.caltech.edu/cgi/oai2,institutional,http://www.caltech.edu/,http://v2.sherpa.ac.uk/id/repository/41,calteches.library.caltech.edu
https://www.cl.cam.ac.uk/techreports,http://www.cl.cam.ac.uk/techreports/UCAM-CL-TR-OAI-SR.xml,institutional,http://www.cam.ac.uk,http://v2.sherpa.ac.uk/id/repository/54,cl.cam.ac.uk
http://orca.cardiff.ac.uk/,http://orca.cf.ac.uk/cgi/oai2,institutional,http://www.cardiff.ac.uk/,http://v2.sherpa.ac.uk/id/repository/55,orca.cardiff.ac.uk
https://epubs.stfc.ac.uk/,https://epubs.stfc.ac.uk/oai/,institutional,http://www.stfc.ac.uk/,http://v2.sherpa.ac.uk/id/repository/57,epubs.stfc.ac.uk
http://archivesic.ccsd.cnrs.fr/,https://api.archives-ouvertes.fr/oai/archivesic,institutional,http://www.ccsd.cnrs.fr/,http://v2.sherpa.ac.uk/id/repository/58,archivesic.ccsd.cnrs.fr
http://jeannicod.ccsd.cnrs.fr/,https://api.archives-ouvertes.fr/oai/jeannicod,institutional,http://www.institutnicod.org/,http://v2.sherpa.ac.uk/id/repository/59,jeannicod.ccsd.cnrs.fr
http://tel.archives-ouvertes.fr/,https://api.archives-ouvertes.fr/oai/tel,aggregating,http://www.ccsd.cnrs.fr/,http://v2.sherpa.ac.uk/id/repository/60,tel.archives-ouvertes.fr
http://content.library.ccsu.edu/cdm/,NA,institutional,http://www.ccsu.edu/,http://v2.sherpa.ac.uk/id/repository/61,content.library.ccsu.edu
http://ceu.archives.ceu.hu/,http://ceu.archives.ceu.hu/perl/oai2,institutional,http://www.ceu.hu/,http://v2.sherpa.ac.uk/id/repository/63,ceu.archives.ceu.hu
http://rss.archives.ceu.hu/,http://rss.archives.ceu.hu/perl/oai2,institutional,http://www.ceu.hu/,http://v2.sherpa.ac.uk/id/repository/64,rss.archives.ceu.hu
http://cds.cern.ch/,http://cds.cern.ch/oai2d,disciplinary,http://www.cern.ch/,http://v2.sherpa.ac.uk/id/repository/65,cds.cern.ch
http://theses.insa-lyon.fr/,http://docinsa.insa-lyon.fr/oai/oai2.php,institutional,http://www.insa-lyon.fr/,http://v2.sherpa.ac.uk/id/repository/66,theses.insa-lyon.fr
http://cogprints.org/,http://cogprints.org/cgi/oai2,disciplinary,https://www.southampton.ac.uk/,http://v2.sherpa.ac.uk/id/repository/68,cogprints.org
https://ecommons.cornell.edu,https://ecommons.cornell.edu/oai/request,institutional,https://www.cornell.edu/,http://v2.sherpa.ac.uk/id/repository/69,ecommons.cornell.edu
https://dspace.lib.cranfield.ac.uk/,https://dspace.lib.cranfield.ac.uk/oai/request,institutional,http://www.cranfield.ac.uk,http://v2.sherpa.ac.uk/id/repository/70,dspace.lib.cranfield.ac.uk
