upw_doi,oa_category,evidence,host_type,repository_institution,url_for_landing_page,url_for_pdf
10.1103/physrevd.89.054038,opendoar_subject,oa repository (via OAI-PMH doi match),repository,Cornell University - arXiv,http://arxiv.org/abs/1312.5621,http://arxiv.org/pdf/1312.5621
10.1103/physrevd.89.054038,other_repo,oa repository (semantic scholar lookup),repository,NA,https://semanticscholar.org/paper/e9195a939f7c0f0f3f93bc53d93307e7da58286c,http://pdfs.semanticscholar.org/46b5/253209f4acd70df0c42d2a227a396f9bbcc9.pdf
10.1007/s15010-011-0155-z,not_oa,NA,NA,NA,NA,NA
10.1051/0004-6361/201118194,other_oa_journal,open (via free pdf),publisher,NA,https://doi.org/10.1051/0004-6361/201118194,https://www.aanda.org/articles/aa/pdf/2012/04/aa18194-11.pdf
10.1051/0004-6361/201118194,opendoar_subject,oa repository (via OAI-PMH doi match),repository,arXiv.org,http://arxiv.org/abs/1110.0475,http://arxiv.org/pdf/1110.0475
10.1051/0004-6361/201118194,other_repo,oa repository (semantic scholar lookup),repository,NA,https://semanticscholar.org/paper/bb59add05cc1874bf7b3a45567074f5b029ffbaf,http://pdfs.semanticscholar.org/bb59/add05cc1874bf7b3a45567074f5b029ffbaf.pdf
10.1016/j.jml.2014.06.001,not_oa,NA,NA,NA,NA,NA
10.3389/fpsyg.2017.01031,full_oa_journal,oa journal (via doaj),publisher,NA,https://doi.org/10.3389/fpsyg.2017.01031,NA
10.3389/fpsyg.2017.01031,full_oa_journal,open (via page says license),publisher,NA,https://doi.org/10.3389/fpsyg.2017.01031,https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01031/pdf
10.3389/fpsyg.2017.01031,opendoar_subject,oa repository (via pmcid lookup),repository,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5487446,NA
10.3389/fpsyg.2017.01031,opendoar_subject,oa repository (via OAI-PMH doi match),repository,National Institutes of Health (USA) - US National Library of Medicine,http://europepmc.org/articles/pmc5487446,http://europepmc.org/articles/pmc5487446?pdf=render
10.3389/fpsyg.2017.01031,other_repo,oa repository (semantic scholar lookup),repository,NA,https://semanticscholar.org/paper/564dcb7626b00936b10aa6e7fcbb034af7267dab,http://pdfs.semanticscholar.org/564d/cb7626b00936b10aa6e7fcbb034af7267dab.pdf
10.3389/fpsyg.2017.01031,opendoar_inst,oa repository (via OAI-PMH title and first author match),repository,"Kooperativer Bibliotheksverbund Berlin-Brandenburg (KOBV), on behalf of the Universitätsbibliothek Erlangen-Nürnberg - OPUS FAU - Online-Publikationssystem der Friedrich-Alexander-Universität Erlangen-Nürnberg",https://opus4.kobv.de/opus4-fau/frontdoor/index/index/docId/9448,https://opus4.kobv.de/opus4-fau/files/9448/Denzer-Lippmann_the_effects.pdf
10.1016/j.ejca.2014.01.009,not_oa,NA,NA,NA,NA,NA
10.3847/2041-8213/835/2/l25,other_oa_journal,open (via free pdf),publisher,NA,https://doi.org/10.3847/2041-8213/835/2/l25,https://iopscience.iop.org/article/10.3847/2041-8213/835/2/L25/pdf
10.3847/2041-8213/835/2/l25,opendoar_subject,oa repository (via OAI-PMH doi match),repository,arXiv.org,http://arxiv.org/abs/1611.04866,http://arxiv.org/pdf/1611.04866
10.1002/hed.21458,not_oa,NA,NA,NA,NA,NA
10.1183/09031936.00177510,other_oa_journal,open (via free pdf),publisher,NA,https://doi.org/10.1183/09031936.00177510,http://erj.ersjournals.com/content/38/4/804.full.pdf
10.1183/09031936.00177510,other_repo,oa repository (semantic scholar lookup),repository,NA,https://semanticscholar.org/paper/a0dcb2a97cdc8b104c6fd7a6ccb1326ed7ad72c7,http://pdfs.semanticscholar.org/a0dc/b2a97cdc8b104c6fd7a6ccb1326ed7ad72c7.pdf
10.1002/chem.201003763,not_oa,NA,NA,NA,NA,NA
10.3389/fimmu.2017.00703,full_oa_journal,oa journal (via doaj),publisher,NA,https://doi.org/10.3389/fimmu.2017.00703,NA
